Number of entities: 1145
Valid tirp: 
event: ['101', '103'], temporal relation: =
event: ['101', '107'], temporal relation: =
event: ['101', '11'], temporal relation: =
event: ['101', '110'], temporal relation: =
event: ['101', '112'], temporal relation: =
event: ['101', '116'], temporal relation: =
event: ['101', '119'], temporal relation: =
event: ['101', '123'], temporal relation: =
event: ['101', '125'], temporal relation: =
event: ['101', '128'], temporal relation: =
event: ['101', '13'], temporal relation: =
event: ['101', '130'], temporal relation: =
event: ['101', '134'], temporal relation: =
event: ['101', '137'], temporal relation: =
event: ['101', '140'], temporal relation: =
event: ['101', '143'], temporal relation: =
event: ['101', '17'], temporal relation: =
event: ['101', '2'], temporal relation: =
event: ['101', '20'], temporal relation: =
event: ['101', '23'], temporal relation: =
event: ['101', '26'], temporal relation: =
event: ['101', '29'], temporal relation: =
event: ['101', '31'], temporal relation: =
event: ['101', '35'], temporal relation: =
event: ['101', '38'], temporal relation: =
event: ['101', '42'], temporal relation: =
event: ['101', '44'], temporal relation: =
event: ['101', '47'], temporal relation: =
event: ['101', '5'], temporal relation: =
event: ['101', '50'], temporal relation: =
event: ['101', '53'], temporal relation: =
event: ['101', '56'], temporal relation: =
event: ['101', '62'], temporal relation: =
event: ['101', '65'], temporal relation: =
event: ['101', '69'], temporal relation: =
event: ['101', '71'], temporal relation: =
event: ['101', '74'], temporal relation: =
event: ['101', '8'], temporal relation: =
event: ['101', '80'], temporal relation: =
event: ['101', '83'], temporal relation: =
event: ['101', '85'], temporal relation: =
event: ['101', '89'], temporal relation: =
event: ['101', '92'], temporal relation: =
event: ['101', '95'], temporal relation: =
event: ['101', '98'], temporal relation: =
event: ['103', '107'], temporal relation: =
event: ['103', '11'], temporal relation: =
event: ['103', '110'], temporal relation: =
event: ['103', '112'], temporal relation: =
event: ['103', '116'], temporal relation: =
event: ['103', '119'], temporal relation: =
event: ['103', '123'], temporal relation: =
event: ['103', '125'], temporal relation: =
event: ['103', '128'], temporal relation: =
event: ['103', '130'], temporal relation: =
event: ['103', '134'], temporal relation: =
event: ['103', '137'], temporal relation: =
event: ['103', '140'], temporal relation: =
event: ['103', '143'], temporal relation: =
event: ['103', '17'], temporal relation: =
event: ['103', '2'], temporal relation: =
event: ['103', '20'], temporal relation: =
event: ['103', '23'], temporal relation: =
event: ['103', '26'], temporal relation: =
event: ['103', '29'], temporal relation: =
event: ['103', '31'], temporal relation: =
event: ['103', '35'], temporal relation: =
event: ['103', '38'], temporal relation: =
event: ['103', '42'], temporal relation: =
event: ['103', '44'], temporal relation: =
event: ['103', '47'], temporal relation: =
event: ['103', '50'], temporal relation: =
event: ['103', '53'], temporal relation: =
event: ['103', '56'], temporal relation: =
event: ['103', '62'], temporal relation: =
event: ['103', '65'], temporal relation: =
event: ['103', '69'], temporal relation: =
event: ['103', '71'], temporal relation: =
event: ['103', '74'], temporal relation: =
event: ['103', '8'], temporal relation: =
event: ['103', '80'], temporal relation: =
event: ['103', '83'], temporal relation: =
event: ['103', '85'], temporal relation: =
event: ['103', '89'], temporal relation: =
event: ['103', '92'], temporal relation: =
event: ['103', '95'], temporal relation: =
event: ['103', '98'], temporal relation: =
event: ['107', '11'], temporal relation: =
event: ['107', '110'], temporal relation: =
event: ['107', '112'], temporal relation: =
event: ['107', '116'], temporal relation: =
event: ['107', '119'], temporal relation: =
event: ['107', '123'], temporal relation: =
event: ['107', '125'], temporal relation: =
event: ['107', '128'], temporal relation: =
event: ['107', '13'], temporal relation: =
event: ['107', '130'], temporal relation: =
event: ['107', '134'], temporal relation: =
event: ['107', '137'], temporal relation: =
event: ['107', '140'], temporal relation: =
event: ['107', '143'], temporal relation: =
event: ['107', '17'], temporal relation: =
event: ['107', '2'], temporal relation: =
event: ['107', '20'], temporal relation: =
event: ['107', '23'], temporal relation: =
event: ['107', '26'], temporal relation: =
event: ['107', '29'], temporal relation: =
event: ['107', '31'], temporal relation: =
event: ['107', '35'], temporal relation: =
event: ['107', '38'], temporal relation: =
event: ['107', '42'], temporal relation: =
event: ['107', '44'], temporal relation: =
event: ['107', '47'], temporal relation: =
event: ['107', '5'], temporal relation: =
event: ['107', '50'], temporal relation: =
event: ['107', '53'], temporal relation: =
event: ['107', '56'], temporal relation: =
event: ['107', '62'], temporal relation: =
event: ['107', '65'], temporal relation: =
event: ['107', '69'], temporal relation: =
event: ['107', '71'], temporal relation: =
event: ['107', '74'], temporal relation: =
event: ['107', '8'], temporal relation: =
event: ['107', '80'], temporal relation: =
event: ['107', '83'], temporal relation: =
event: ['107', '85'], temporal relation: =
event: ['107', '89'], temporal relation: =
event: ['107', '92'], temporal relation: =
event: ['107', '95'], temporal relation: =
event: ['107', '98'], temporal relation: =
event: ['11', '110'], temporal relation: =
event: ['11', '112'], temporal relation: =
event: ['11', '116'], temporal relation: =
event: ['11', '119'], temporal relation: =
event: ['11', '123'], temporal relation: =
event: ['11', '125'], temporal relation: =
event: ['11', '128'], temporal relation: =
event: ['11', '13'], temporal relation: =
event: ['11', '130'], temporal relation: =
event: ['11', '134'], temporal relation: =
