Number of entities: 3000
Valid tirp: 
event: ['1', '26'], temporal relation: s
event: ['1', '2'], temporal relation: m
event: ['1', '12'], temporal relation: m
event: ['1', '3'], temporal relation: <
event: ['1', '2'], temporal relation: <
event: ['1', '1'], temporal relation: <
event: ['1', '15'], temporal relation: <
event: ['1', '10'], temporal relation: <
event: ['1', '14'], temporal relation: <
event: ['1', '11'], temporal relation: <
event: ['1', '20'], temporal relation: <
event: ['1', '29'], temporal relation: <
event: ['11', '3'], temporal relation: <
event: ['11', '2'], temporal relation: <
event: ['11', '1'], temporal relation: <
event: ['11', '10'], temporal relation: <
event: ['11', '11'], temporal relation: <
event: ['28', '1'], temporal relation: <
event: ['28', '2'], temporal relation: <
event: ['28', '3'], temporal relation: <
event: ['28', '10'], temporal relation: <
event: ['28', '11'], temporal relation: <
event: ['14', '3'], temporal relation: c
event: ['14', '1'], temporal relation: c
event: ['14', '15'], temporal relation: m
event: ['14', '10'], temporal relation: <
event: ['14', '1'], temporal relation: <
event: ['14', '3'], temporal relation: <
event: ['14', '14'], temporal relation: <
event: ['14', '11'], temporal relation: <
event: ['14', '29'], temporal relation: <
event: ['14', '2'], temporal relation: <
event: ['17', '3'], temporal relation: c
event: ['17', '1'], temporal relation: c
event: ['23', '26'], temporal relation: =
event: ['23', '12'], temporal relation: c
event: ['23', '3'], temporal relation: c
event: ['23', '1'], temporal relation: c
event: ['23', '10'], temporal relation: c
event: ['23', '11'], temporal relation: f
event: ['23', '29'], temporal relation: f
event: ['23', '2'], temporal relation: f
event: ['26', '33'], temporal relation: =
event: ['26', '35'], temporal relation: =
event: ['26', '2'], temporal relation: c
event: ['26', '12'], temporal relation: c
event: ['26', '3'], temporal relation: c
event: ['26', '30'], temporal relation: c
event: ['26', '1'], temporal relation: c
event: ['26', '10'], temporal relation: c
event: ['26', '14'], temporal relation: f
event: ['26', '11'], temporal relation: f
event: ['26', '20'], temporal relation: f
event: ['26', '29'], temporal relation: f
event: ['26', '2'], temporal relation: f
event: ['33', '12'], temporal relation: c
event: ['33', '3'], temporal relation: c
event: ['33', '1'], temporal relation: c
event: ['33', '10'], temporal relation: c
event: ['33', '11'], temporal relation: f
event: ['33', '29'], temporal relation: f
event: ['33', '2'], temporal relation: f
event: ['35', '12'], temporal relation: c
event: ['35', '3'], temporal relation: c
event: ['35', '1'], temporal relation: c
event: ['35', '10'], temporal relation: c
event: ['12', '10'], temporal relation: m
event: ['12', '1'], temporal relation: <
event: ['12', '3'], temporal relation: <
event: ['12', '14'], temporal relation: <
event: ['12', '11'], temporal relation: <
event: ['12', '20'], temporal relation: <
event: ['12', '29'], temporal relation: <
event: ['12', '2'], temporal relation: <
event: ['3', '2'], temporal relation: m
event: ['3', '1'], temporal relation: <
event: ['3', '2'], temporal relation: <
event: ['3', '3'], temporal relation: <
event: ['3', '15'], temporal relation: <
event: ['3', '10'], temporal relation: <
event: ['3', '14'], temporal relation: <
event: ['3', '11'], temporal relation: <
event: ['3', '20'], temporal relation: <
event: ['3', '29'], temporal relation: <
event: ['30', '2'], temporal relation: <
event: ['1', '3'], temporal relation: m
event: ['3', '1'], temporal relation: m
event: ['15', '14'], temporal relation: m
event: ['10', '11'], temporal relation: m
event: ['10', '2'], temporal relation: <
event: ['20', '29'], temporal relation: =
event: ['20', '2'], temporal relation: f
event: ['29', '2'], temporal relation: f
event: ['12', '12'], temporal relation: <
event: ['12', '10'], temporal relation: <
event: ['12', '5'], temporal relation: <
event: ['3', '26'], temporal relation: s
event: ['3', '12'], temporal relation: <
event: ['3', '5'], temporal relation: <
event: ['26', '14'], temporal relation: c
event: ['26', '28'], temporal relation: c
event: ['10', '12'], temporal relation: m
event: ['10', '10'], temporal relation: <
event: ['10', '3'], temporal relation: <
event: ['10', '1'], temporal relation: <
event: ['10', '12'], temporal relation: <
event: ['10', '5'], temporal relation: <
event: ['10', '29'], temporal relation: <
event: ['10', '20'], temporal relation: <
event: ['10', '14'], temporal relation: <
